State,County,Votes,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,POPESTIMATE2016,TotalTurnout,DidntVote,CountyState
Minnesota,Carver County,55102.0,0.2898106959765415,0.2145179629371048,0.00486724781073587,0.02454569029143644,100262.0,0.5337415970158186,0.4662584029841814,"Carver County, Minnesota"
Minnesota,Cass County,15885.0,0.34429000103473245,0.17069637498706589,0.007312109819611626,0.014279308798675536,28993.0,0.5365777946400855,0.4634222053599145,"Cass County, Minnesota"
Minnesota,Chippewa County,6182.0,0.3102283029753565,0.16302645677079042,0.005769389268935957,0.017225747960108798,12133.0,0.4962498969751916,0.5037501030248084,"Chippewa County, Minnesota"
Minnesota,Chisago County,30009.0,0.3368342222546942,0.1694856433111712,0.005790165850807334,0.02215606049536056,54748.0,0.5342660919120333,0.46573390808796666,"Chisago County, Minnesota"
Minnesota,Clay County,29108.0,0.2154910536779324,0.20634592445328034,0.006616302186878725,0.02363419483101392,62875.0,0.4520874751491054,0.5479125248508946,"Clay County, Minnesota"
Minnesota,Clearwater County,4225.0,0.33136966126656847,0.1246176503908463,0.0037385295117253864,0.010649144669763227,8827.0,0.4703749858389034,0.5296250141610965,"Clearwater County, Minnesota"
Minnesota,Cook County,3360.0,0.218690881573969,0.3617101778282255,0.014566780174044643,0.019863791146424517,5286.0,0.6148316307226637,0.38516836927733633,"Cook County, Minnesota"
Minnesota,Cottonwood County,5697.0,0.3207497820401046,0.14629468177855273,0.0035745422842197003,0.01307759372275501,11470.0,0.4836965998256321,0.5163034001743678,"Cottonwood County, Minnesota"
Minnesota,Crow Wing County,35568.0,0.34856115107913666,0.1717547700969659,0.004863934939005315,0.018360963403190492,63940.0,0.5435408195182984,0.45645918048170164,"Crow Wing County, Minnesota"
Minnesota,Dakota County,228659.0,0.2386283611905549,0.26408310697843757,0.006381052298759717,0.023634325462410715,417486.0,0.532726845930163,0.46727315406983705,"Dakota County, Minnesota"
Minnesota,Dodge County,10564.0,0.318297083780357,0.15127279820540326,0.00477908904710816,0.022139861503950062,20506.0,0.49648883253681847,0.5035111674631816,"Dodge County, Minnesota"
Minnesota,Douglas County,21623.0,0.37286416061512173,0.16624839812046135,0.004458564715933361,0.020851131994873987,37456.0,0.5644222554463904,0.43557774455360965,"Douglas County, Minnesota"
Minnesota,Faribault County,7355.0,0.33433799784714746,0.15450304987441693,0.004520990312163613,0.019447434517402225,13935.0,0.5128094725511303,0.4871905274488697,"Faribault County, Minnesota"
Minnesota,Fillmore County,10976.0,0.2985763938484978,0.18435461600723707,0.00490406132457268,0.019473408560681808,21003.0,0.5073084797409894,0.49269152025901064,"Fillmore County, Minnesota"
Minnesota,Freeborn County,15929.0,0.28929908690796813,0.19841686921106225,0.005550811272416737,0.016783813965709774,30446.0,0.510050581357157,0.489949418642843,"Freeborn County, Minnesota"
Minnesota,Goodhue County,25538.0,0.3008184077470219,0.2023738109520953,0.005613163081669377,0.024209443825520614,46676.0,0.5330148256063072,0.4669851743936928,"Goodhue County, Minnesota"
Minnesota,Grant County,3453.0,0.34637340496977836,0.18535930154466082,0.004533243787777031,0.026695768972464746,5956.0,0.562961719274681,0.43703828072531903,"Grant County, Minnesota"
Minnesota,Hennepin County,672644.0,0.1555948439045407,0.34830744115740336,0.008365226944306735,0.019797433311453384,1232483.0,0.5320649453177042,0.4679350546822958,"Hennepin County, Minnesota"
Minnesota,Houston County,10515.0,0.29850111619007125,0.2203146592962687,0.0071755076007228615,0.020941851812480067,18814.0,0.5469331348995429,0.45306686510045713,"Houston County, Minnesota"
Minnesota,Hubbard County,11423.0,0.35085432956849116,0.16565305531421953,0.006371271358239211,0.016507384882710682,20718.0,0.5393860411236605,0.4606139588763395,"Hubbard County, Minnesota"
Minnesota,Isanti County,20875.0,0.34939141575912874,0.14493273542600896,0.005611787315823187,0.01960281870595771,39025.0,0.5195387572069187,0.48046124279308133,"Isanti County, Minnesota"
Minnesota,Itasca County,23650.0,0.2855753503381813,0.1992617479333363,0.006056319349277217,0.017505857389151672,45242.0,0.5083992750099465,0.4916007249900535,"Itasca County, Minnesota"
Minnesota,Jackson County,5453.0,0.3629324215607401,0.1500402252614642,0.004927594529364438,0.01820193081255028,9944.0,0.536102172164119,0.46389782783588096,"Jackson County, Minnesota"
Minnesota,Kanabec County,8125.0,0.33038534428300703,0.14699936828806065,0.00511686670878079,0.018825015792798484,15830.0,0.501326595072647,0.498673404927353,"Kanabec County, Minnesota"
Minnesota,Kandiyohi County,21648.0,0.30085892457936225,0.17098482174373456,0.0038592775620661227,0.021814331097776207,42495.0,0.4975173549829391,0.502482645017061,"Kandiyohi County, Minnesota"
Minnesota,Kittson County,2363.0,0.3113316408954535,0.1899376875144242,0.0034618047542118576,0.027925225017309027,4333.0,0.5326563581813986,0.46734364181860144,"Kittson County, Minnesota"
